station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acebento,2023-01-06T09:25:00Z,0.07,1.517,0.08999999999999986,1,0.9,97.2,0.54
acebento,2023-01-06T09:30:00Z,0.18,1.553,0.03600000000000003,1,0.96,97.4,0.617
acebento,2023-01-06T09:50:00Z,0.11,1.467,0.06000000000000005,1,0.68,97.6,0.353
acebento,2023-01-06T09:55:00Z,0.27,1.607,0.1399999999999999,1,0.54,97.3,0.188
acebento,2023-01-06T10:05:00Z,0.3,1.617,0.07299999999999995,1,0.84,97.9,0.538
acebento,2023-01-06T10:15:00Z,0.13,1.657,0.06000000000000005,1,0.9,97.7,0.582
acebento,2023-01-06T10:30:00Z,0.11,1.65,0.09999999999999987,1,1.04,97.8,0.73
acebento,2023-01-06T10:35:00Z,0.18,1.664,0.014000000000000012,1,1,97.8,0.69
acebento,2023-01-06T10:50:00Z,0.11,1.58,0.030000000000000027,1,1.1,97.9,0.799
acebento,2023-01-06T11:05:00Z,0.1,1.657,0.11699999999999999,1,1.16,98,0.868
acebento,2023-01-06T11:25:00Z,0.06,1.61,0.08400000000000007,1,1.14,97.8,0.831
acebento,2023-01-06T11:40:00Z,0.25,1.577,0.07699999999999996,1,1.12,98,0.827
acebento,2023-01-06T12:00:00Z,0.11,1.49,0.050999999999999934,1,1.44,97.9,1.14
acebento,2023-01-06T12:05:00Z,0.25,1.49,0,0,1.4,97.7,1.083
acebento,2023-01-06T12:15:00Z,0.16,1.493,0.010000000000000009,1,1.3,97.9,1
acebento,2023-01-06T12:30:00Z,0.05,1.51,0.07099999999999995,1,1.38,98,1.088
acebento,2023-01-06T12:40:00Z,0.12,1.46,0.02400000000000002,1,1.46,97.9,1.16
acebento,2023-01-06T12:50:00Z,0.05,1.463,0.03400000000000003,1,1.3,97.7,0.983
acebento,2023-01-06T13:05:00Z,0.07,1.493,0.030000000000000027,1,1.3,97.9,1
acebento,2023-01-06T13:20:00Z,0.05,1.453,0.08000000000000007,1,1.3,97.8,0.991
acebento,2023-01-16T09:40:00Z,0.1,1.268,0.040000000000000036,1,-0.8,96.4,-1.225
acebento,2023-01-16T10:50:00Z,0.07,1.363,0.04600000000000004,1,-0.48,97.1,-0.849
acebento,2023-01-16T11:45:00Z,0.05,1.322,0.07200000000000006,1,-0.18,97.3,-0.533
acebento,2023-01-16T12:15:00Z,0.09,1.349,0.09999999999999987,1,0,97.6,-0.328
acebento,2023-01-16T12:50:00Z,0.07,1.402,0.04999999999999982,1,-0.1,97.9,-0.404
acebento,2023-01-16T12:55:00Z,0.18,1.422,0.020000000000000018,1,-0.1,98,-0.396
acebento,2023-01-16T13:00:00Z,0.15,1.439,0.017000000000000126,1,-0.04,98.1,-0.328
acebento,2023-01-16T13:10:00Z,0.18,1.459,0.010000000000000009,1,0,98.2,-0.279
acebento,2023-01-16T13:20:00Z,0.05,1.409,0.010000000000000009,1,0,98.2,-0.279
acebento,2023-01-16T16:50:00Z,0.07,1.425,0.050000000000000044,1,0.1,98.7,-0.138
acebento,2023-01-17T14:20:00Z,0.07,1.357,0.06600000000000006,1,-0.54,97.4,-0.885
acebento,2023-01-17T16:25:00Z,0.08,1.992,0.050000000000000044,1,-0.1,97.4,-0.445
acebento,2023-01-23T00:15:00Z,0.13,2.067,0.12900000000000023,1,-1.6,93.9,-2.216
acebento,2023-01-25T23:10:00Z,0.07,1.045,0.04999999999999993,1,0.1,91.8,-0.692
acebento,2023-01-27T15:30:00Z,0.1,1.4,0.1339999999999999,1,-0.26,95.8,-0.733
acebento,2023-01-27T15:40:00Z,0.06,1.476,0.05699999999999994,1,-0.2,96.6,-0.609
acebento,2023-01-27T16:05:00Z,0.12,1.719,0.050000000000000044,1,-0.3,97.2,-0.661
acebento,2023-01-27T16:15:00Z,0.07,1.849,0.016000000000000014,1,-0.38,96.8,-0.773
acebento,2023-01-27T16:20:00Z,0.06,1.913,0.06400000000000006,1,-0.38,96.8,-0.773
acebento,2023-01-27T16:30:00Z,0.09,1.886,0.04299999999999993,1,-0.42,96.8,-0.813
acebento,2023-01-27T16:40:00Z,0.18,2.116,0.020000000000000018,1,-0.5,97,-0.877
acebento,2023-01-27T16:55:00Z,0.11,2.386,0.07600000000000007,1,-0.54,96.7,-0.941
acebento,2023-01-27T17:05:00Z,0.05,2.606,0.1599999999999997,1,-0.5,96.9,-0.885
acebento,2023-01-27T17:40:00Z,0.06,2.992,0.08000000000000007,1,-0.4,97.3,-0.753
acebento,2023-01-27T17:50:00Z,0.05,2.992,0.1299999999999999,1,-0.4,97.4,-0.745
acebento,2023-01-27T17:55:00Z,0.06,3.062,0.06999999999999984,1,-0.4,97.4,-0.745
acebento,2023-01-27T18:10:00Z,0.11,3.328,0.1589999999999998,1,-0.3,97.5,-0.637
acebento,2023-01-27T18:30:00Z,0.13,3.618,0.2599999999999998,1,-0.3,97.2,-0.661
acebento,2023-01-27T19:00:00Z,0.32,4.061,0.09299999999999997,1,-0.32,97.3,-0.673
acebento,2023-01-27T19:10:00Z,0.15,4.128,0.18000000000000016,1,-0.3,97.3,-0.653
acebento,2023-01-28T00:55:00Z,0.1,3.562,0.02400000000000002,1,-3.12,92.4,-3.834
acebento,2023-01-28T01:55:00Z,0.09,3.547,0.04899999999999993,1,-3.6,93.7,-4.218
acebento,2023-02-14T10:25:00Z,0.12,1.134,0.0040000000000000036,1,-2.16,91.2,-2.971
acebento,2023-02-14T10:40:00Z,0.34,1.873,0.21300000000000008,1,-2.5,93.9,-3.11
acebento,2023-02-14T11:05:00Z,0.11,2.886,0.7560000000000002,1,-2.7,94.4,-3.272
acebento,2023-02-14T11:25:00Z,0.08,2.98,0.08000000000000007,1,-2.8,93.1,-3.467
acebento,2023-02-14T12:20:00Z,0.28,3.169,0.010000000000000231,1,-2.8,94.2,-3.387
acebento,2023-02-20T11:30:00Z,0.11,1.708,0.016000000000000014,1,-2.68,93.7,-3.304
acebento,2023-02-20T11:55:00Z,0.08,2.011,0.13000000000000012,1,-2.7,94.4,-3.272
acebento,2023-02-20T12:35:00Z,0.12,2.568,0.15900000000000025,1,-2.7,94.6,-3.258
acebento,2023-02-20T12:55:00Z,0.09,2.683,0.09899999999999975,1,-2.6,95.1,-3.121
acebento,2023-02-20T13:10:00Z,0.22,2.926,0.06000000000000005,1,-2.7,95.3,-3.206
acebento,2023-02-20T17:00:00Z,0.11,3.899,0.04899999999999993,1,-2.1,94.8,-2.645
acebento,2023-02-20T17:20:00Z,0.1,4.085,0.08000000000000007,1,-1.94,94.8,-2.486
acebento,2023-02-21T11:40:00Z,0.24,3.026,0,0,-8.1,90.9,-8.857
acebento,2023-02-21T14:25:00Z,0.34,3.552,0.16199999999999992,1,-11.52,86.8,-12.434
acebento,2023-02-21T15:45:00Z,0.05,3.272,0.03799999999999981,1,-12.28,85,-13.257
acebento,2023-02-21T19:20:00Z,0.13,2.983,0.09600000000000009,1,-13.88,82.9,-14.895
acebento,2023-02-22T11:45:00Z,0.1,2.751,0.06499999999999995,1,-21.46,79.06,-22.29
acebento,2023-03-06T03:25:00Z,0.05,0.83,0.02399999999999991,1,-9.5,88.3,-10.381
