station,datetime,precipitation_mm,snow_depth_cm,snow_diff,rain_or_snow,average_air_temperature_c,average_relative_humidity_percent,wet_bulb_temperature_c
acecoffe,2023-01-06T07:25:00Z,0.06,1.371,0.020000000000000018,1,-1.2,80.2,-2.811
acecoffe,2023-01-06T15:45:00Z,0.12,1.443,0.010000000000000009,1,0.5,97,0.123
acecoffe,2023-01-06T15:50:00Z,0.06,1.583,0.1399999999999999,1,0.5,97,0.123
acecoffe,2023-01-06T16:20:00Z,0.06,1.531,0.09599999999999986,1,0.78,97.2,0.42
acecoffe,2023-01-06T16:25:00Z,0.1,1.568,0.037000000000000144,1,0.88,97.1,0.512
acecoffe,2023-01-06T16:35:00Z,0.06,1.467,0.040000000000000036,1,0.96,96.9,0.575
acecoffe,2023-01-06T16:55:00Z,0.08,1.58,0.040000000000000036,1,1.1,97,0.724
acecoffe,2023-01-06T17:10:00Z,0.09,1.595,0.09899999999999998,1,1.38,96.8,0.987
acecoffe,2023-01-06T17:20:00Z,0.06,1.552,0.14100000000000001,1,1.6,95.2,1.073
acecoffe,2023-01-06T17:35:00Z,0.14,1.531,0.04699999999999993,1,1.86,93.4,1.182
acecoffe,2023-01-06T17:45:00Z,0.05,1.511,0.10099999999999998,1,1.94,93.2,1.244
acecoffe,2023-01-06T17:50:00Z,0.07,1.537,0.026000000000000023,1,1.96,93.3,1.273
acecoffe,2023-01-06T18:00:00Z,0.26,1.531,0.053999999999999826,1,1.92,93.4,1.241
acecoffe,2023-01-06T18:10:00Z,0.21,1.48,0,0,1.9,94,1.271
acecoffe,2023-01-06T18:25:00Z,0.21,1.514,0.07000000000000006,1,1.8,94.5,1.214
acecoffe,2023-01-06T18:30:00Z,0.06,1.531,0.016999999999999904,1,1.84,95.1,1.304
acecoffe,2023-01-06T18:45:00Z,0.12,1.47,0.040000000000000036,1,2.2,94.5,1.612
acecoffe,2023-01-06T18:55:00Z,0.1,1.429,0.017000000000000126,1,2.46,94,1.828
acecoffe,2023-01-06T19:15:00Z,0.08,1.583,0.07699999999999996,1,2.96,92.2,2.171
acecoffe,2023-01-06T19:45:00Z,0.07,1.482,0.030000000000000027,1,3.3,91.7,2.465
acecoffe,2023-01-06T20:10:00Z,0.2,1.499,0.07400000000000007,1,3.12,92.2,2.33
acecoffe,2023-01-16T13:15:00Z,0.07,1.243,0.09000000000000008,1,-1.7,98.1,-1.993
acecoffe,2023-01-16T14:05:00Z,0.07,1.372,0.06900000000000017,1,-1.7,97.5,-2.04
acecoffe,2023-01-16T14:40:00Z,0.07,1.438,0.026000000000000023,1,-1.62,97.6,-1.952
acecoffe,2023-01-16T16:10:00Z,0.05,1.624,0,0,-0.8,96.9,-1.186
acecoffe,2023-01-16T17:00:00Z,0.06,1.934,0.11599999999999988,1,-0.36,96.8,-0.753
acecoffe,2023-01-16T17:05:00Z,0.07,1.954,0.020000000000000018,1,-0.3,96.9,-0.685
acecoffe,2023-01-16T17:10:00Z,0.06,2.13,0.17599999999999993,1,-0.22,96.8,-0.613
acecoffe,2023-01-16T17:25:00Z,0.06,2.402,0.28600000000000003,1,-0.02,96.6,-0.429
acecoffe,2023-01-16T17:30:00Z,0.08,2.518,0.11599999999999966,1,0.08,96.6,-0.329
